id,name,address,city_id
1,London Marriott Hotel County Hall, County Hall Westminster Bridge Road Lambeth  SE1 7PB ,1
2,Hotel Arena, s Gravesandestraat 55 Oost 1092 AA  ,4
3,K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea  SW5 9NB ,1
4,Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of   EC4Y 1LL ,1
5,The Park Grand London Paddington,1 3 Queens Garden Westminster Borough  W2 3BA ,1
6,Monhotel Lounge SPA,1 3 Rue d Argentine 16th arr 75116  ,2
7,Kube Hotel Ice Bar,1 5 Passage Ruelle 18th arr 75018  ,2
8,The Principal London,1 8 Russell Square Camden  WC1B 5BE ,1
9,Park Plaza County Hall London,1 Addington Street Lambeth  SE1 7RY ,1
