id,name,address,city_id
284,Mercure Paris Gare Montparnasse,20 Rue De La Ga t 14th arr 75014  ,2
285,Mercure Paris Notre Dame Saint Germain des Pr s,20 rue du Sommerard 5th arr 75005  ,2
286,Mercure Paris Centre Tour Eiffel,20 Rue Jean Rey 15th arr 75015  ,2
287,Banke H tel,20 Rue La Fayette 9th arr 75009  ,2
288,Mondrian London,20 Upper Ground Southwark  SE1 9PD ,1
289,Karma Sanctum Soho Hotel,20 Warwick Street Westminster Borough  W1B 5NF ,1
290,NH London Kensington,202 220 Cromwell Road Kensington and Chelsea  SW5 0SW ,1
291,Saint James Albany Paris Hotel Spa,202 rue de Rivoli 1st arr 75001  ,2
292,Mercure Paris Montparnasse Raspail,207 Boulevard Raspail 14th arr 75014  ,2
293,Golden Tulip Bercy Gare de Lyon 209,209 211 rue de Charenton 12th arr 75012  ,2
294,Montfleuri,21 Avenue De La Grande Arm e 16th arr 75016  ,2
295,Simply Rooms Suites,21 Avonmore Road Kensington Hammersmith and Fulham  W14 8RP ,1
296,Mercure Paris Pigalle Sacre Coeur,21 Boulevard De Clichy 9th arr 75009  ,2
297,The Academy,21 Gower Street Camden  WC1E 6HG ,1
298,Le Meridien Piccadilly,21 Piccadilly Westminster Borough  W1J 0BH ,1
299,Mercure Paris Terminus Nord,21 rue de Dunkerque 10th arr 75010  ,2
300,H tel F licien by Elegancia,21 rue F licien David 16th arr 75016  ,2
301,Le Lavoisier,21 rue Lavoisier 8th arr 75008  ,2
302,H tel Moli re,21 rue Moli re 1st arr 75001  ,2
303,Vice Versa,213 rue de la Croix Nivert 15th arr 75015  ,2
304,The Kings Head Hotel,214 High Street Acton   W3 9NX ,1
305,H tel Etoile Saint Honor by Happyculture,214 rue du Faubourg Saint Honor 8th arr 75008  ,2
306,Hotel Le petit Paris,214 rue Saint Jacques 5th arr 75005  ,2
307,Mercure Paris 19 Philharmonie La Villette,216 Avenue Jean Jaures 19th arr 75019  ,2
308,Royal Garden Champs Elysees,218 220 rue du Faubourg St Honor 8th arr 75008  ,2
309,H tel Brighton Esprit de France,218 rue de Rivoli 1st arr 75001  ,2
310,H tel Paris Bastille Boutet MGallery by Sofitel,22 24 Rue Faidherbe 11th arr 75011  ,2
311,Montcalm Royal London House City of London,22 25 Finsbury Square City Islington  EC2A 1DX ,1
312,Conrad London St James,22 28 Broadway Westminster Borough  SW1H 0BH ,1
313,L Edmond H tel,22 avenue de Villiers 17th arr 75017  ,2
314,Novotel Suites Paris Montreuil Vincennes,22 Avenue du professeur lemierre 20th arr 75020  ,2
315,London Marriott Hotel West India Quay,22 Hertsmere Road Tower Hamlets  E14 4ED ,1
316,London Hilton on Park Lane,22 Park Lane Westminster Borough  W1K 1BE ,1
317,Radisson Blu Portman Hotel London,22 Portman Square Westminster Borough  W1H 7BG ,1
318,H tel France d Antin Op ra,22 rue d Antin 2nd arr 75002  ,2
319,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,22 Rue Danielle Casanova 1st arr 75002  ,2
320,H tel De Buci by MH,22 rue de Buci 6th arr 75006  ,2
321,Hotel Parc Saint Severin Esprit de France,22 Rue de La Parcheminerie 5th arr 75005  ,2
322,Hotel Chavanel,22 Rue Tronchet 8th arr 75008  ,2
323,The Portobello Hotel,22 Stanley Gardens Kensington and Chelsea  W11 2NG ,1
324,Royal Saint Honore,221 Rue Saint Honore 1st arr 75001  ,2
325,Landmark London,222 Marylebone Road Westminster Borough  NW1 6JQ ,1
326,Hilton London Metropole,225 Edgware Road Westminster Borough  W2 1JU ,1
327,Best Western Seraphine Kensington Olympia,225 High Street Kensington Kensington and Chelsea  W8 6SA ,1
328,Portobello House,225 Ladbroke Grove Kensington and Chelsea  W10 6HQ ,1
329,Le Meurice,228 Rue De Rivoli 1st arr 75001  ,2
330,Maison Albar Hotel Paris C line,23 25 rue de Pont Neuf 1st arr 75001  ,2
331,Henry VIII,23 Leinster Gardens Westminster Borough  W2 3AN ,1
332,Goodenough Club,23 Mecklenburgh Square Camden  WC1N 2AD ,1
333,Holiday Inn Paris Montmartre,23 Rue Damr mont 18th arr 75018  ,2
334,Hotel Pulitzer Paris,23 rue du Faubourg Montmartre 9th arr 75009  ,2
335,Hotel Vignon,23 Rue Vignon 8th arr 75008  ,2
336,London Suites,230 A Mile End Road Tower Hamlets  E1 4LJ ,1
337,H tel Aiglon Esprit de France,232 Boulevard Raspail 14th arr 75014  ,2
338,Sansi Diputacio,234 Diputacio Eixample 08007  ,5
339,Park Plaza Victoria London,239 Vauxhall Bridge Road Westminster Borough  SW1V 1EQ ,1
340,Grange Beauchamp Hotel,24 27 Bedford Place Bloomsbury Camden  WC1B 5JH ,1
341,The Franklin Hotel Starhotels Collezione,24 Egerton Gardens Kensington and Chelsea  SW3 2DB ,1
342,Club Quarters Hotel St Paul s,24 Ludgate Hill City of   EC4M 7DR ,1
343,Hotel Elys es Bassano,24 rue Bassano 16th arr 75016  ,2
344,Hotel Opera Cadet,24 rue Cadet 9th arr 75009  ,2
345,Phileas Hotel,24 Rue d  9th arr 75009  ,2
346,Holiday Inn Paris Elys es,24 Rue De Miromesnil 8th arr 75008  ,2
347,H tel Beauchamps,24 rue de Ponthieu 8th arr 75008  ,2
348,Best Western Nouvel Orl ans Montparnasse,25 avenue du General Leclerc 14th arr 75014  ,2
349,Hotel Plaza Athenee Paris,25 Avenue Montaigne 8th arr 75008  ,2
350,Mercure Paris Place d Italie,25 Boulevard Auguste Blanqui 13th arr 75013  ,2
351,The Nadler Kensington,25 Courtfield Gardens Kensington and Chelsea  SW5 0PG ,1
352,H tel Da Vinci Spa,25 rue des Saints P res 6th arr 75006  ,2
353,XO Hotel,25 Rue Theodore de Banville 17th arr 75017  ,2
354,H tel Vernet,25 Rue Vernet 8th arr 75008  ,2
355,Mandarin Oriental Paris,251 rue Saint Honor 1st arr 75001  ,2
356,Rosewood London,252 High Holborn Holborn Camden  WC1V 7EN ,1
357,Novotel Paris Vaugirard Montparnasse,257 Rue De Vaugirard 15th arr 75015  ,2
358,Mayflower Hotel Apartments,26 28 Trebovir Rd Kensington and Chelsea  SW5 9NJ ,1
359,Caesar Hotel,26 33 Queens Gardens Westminster Borough  W2 3BE ,1
360,Hotel Xanadu,26 42 Bond Street Ealing  W5 5AA ,1
361,Draycott Hotel,26 Cadogan Gardens Kensington and Chelsea  SW3 2RP ,1
362,DoubleTree by Hilton London Docklands Riverside,265 Rotherhithe Street Southwark  SE16 5HW ,1
363,Bentley London,27 33 Harrington Gardens Kensington and Chelsea  SW7 4JX ,1
364,Mercure Paris Arc de Triomphe Etoile,27 avenue des Ternes 17th arr 75017  ,2
365,Park Grand Paddington Court,27 Devonshire Terrace Westminster Borough  W2 3DP ,1
366,The One Barcelona GL,277 Carrer de Proven a Eixample 08037  ,5
367,The Zetter Townhouse Marylebone,28 30 Seymour Street Westminster Borough  W1H 7JB ,1
368,Forest Hill Paris la Villette,28 av Corentin Cariou 19th arr 75019  ,2
369,The Levin Hotel,28 Basil Street Kensington and Chelsea  SW3 1AS ,1
370,The Tophams Hotel,28 Ebury Street Westminster Borough  SW1W 0LU ,1
371,Le Pavillon de la Reine Spa,28 place des Vosges 3rd arr 75003  ,2
372,Hidden Hotel by Elegancia,28 Rue de l Arc de Triomphe 17th arr 75017  ,2
373,Le Roch Hotel Spa,28 rue Saint Roch 1st arr 75001  ,2
374,H10 London Waterloo,284 To 302 Waterloo Road Southwark  SE1 8RQ ,1
375,San Domenico House,29 31 Draycott Place Kensington and Chelsea  SW3 2SH ,1
376,Bloomsbury Palace Hotel,29 31 Gower Street Camden  WC1E 6HG ,1
377,Hotel du Petit Moulin,29 31 rue de Poitou 3rd arr 75003  ,2
378,Hotel Atmospheres,29 31 rue des Ecoles 5th arr 75005  ,2
379,H tel La Comtesse by Elegancia,29 Avenue De Tourville 7th arr 75007  ,2
380,Hotel Astra Opera Astotel,29 rue Caumartin 9th arr 75009  ,2
381,Hotel La Villa Saint Germain Des Pr s,29 Rue Jacob 6th arr 75006  ,2
382,Grand Pigalle Hotel,29 rue Victor Mass 9th arr 75009  ,2
383,Innkeeper s Lodge London Greenwich,291 Greenwich High Road Greenwich Greenwich  SE10 8NA ,1
384,Morgan Mees,2e Hugo de Grootstraat 2 6 Westerpark 1052 LC  ,4
385,Hotel Duminy Vendome,3 5 rue du Mont Thabor 1st arr 75001  ,2
386,Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,3 avenue Mac Mahon 17th arr 75017  ,2
387,Holiday Inn London Mayfair,3 Berkeley Street Westminster Borough  W1J 8NE ,1
388,H tel Recamier,3 Bis Place Saint Sulpice 6th arr 75006  ,2
389,TRYP Paris Op ra,3 Boulevard Montmartre 2nd arr 75002  ,2
390,Royal Saint Michel,3 Boulevard Saint Michel 5th arr 75005  ,2
391,Paddington Court Executive Rooms,3 Devonshire Terrace Westminster Borough  W2 3DN ,1
392,Novotel London Paddington,3 Kingdom Street Sheldon Square Westminster Borough  W2 6BD ,1
393,Hyatt Regency Paris Etoile,3 Place du G n ral Koenig 17th arr 75017  ,2
394,Relais Saint Jacques,3 Rue Abb De L Ep e 5th arr 75005  ,2
395,Hotel Cambon,3 Rue Cambon 1st arr 75001  ,2
396,Mercure Paris Montmartre Sacr Coeur,3 Rue Caulaincourt 18th arr 75018  ,2
397,Relais Christine,3 Rue Christine 6th arr 75006  ,2
398,Les Matins de Paris Spa,3 rue Clauzel 9th arr 75009  ,2
399,Hotel Square,3 Rue De Boulainvilliers 16th arr 75016  ,2
400,H tel Bourgogne Montana by MH,3 rue de Bourgogne 7th arr 75007  ,2
401,The Westin Paris Vend me,3 rue de Castiglione 1st arr 75001  ,2
402,Hotel Montalembert,3 Rue de Montalembert 7th arr 75007  ,2
403,H tel Mathis Elys es,3 rue de Ponthieu 8th arr 75008  ,2
404,Le Saint Hotel Paris,3 rue du Pr aux Clercs 7th arr 75007  ,2
405,Hotel Le Squara,3 rue Lepic 18th arr 75018  ,2
406,L Hotel Pergol se Paris,3 Rue Pergolese 16th arr 75116  ,2
407,H tel Mayfair Paris,3 Rue Rouget De Lisle 1st arr 75001  ,2
408,Best Western Plus de Neuville Arc de Triomphe,3 Rue Verniquet 17th arr 75017  ,2
409,South Place Hotel,3 South Place City of   EC2M 2AF ,1
410,The Royal Park Hotel,3 Westbourne Terrace Lancaster Gate Westminster Borough  W2 3UL ,1
411,Holiday Inn Paris Op ra Grands Boulevards,30 32 Boulevard Poissonni re 9th arr 75009  ,2
412,Henley House Hotel,30 Barkston Gardens Kensington and Chelsea  SW5 0EN ,1
413,Holiday Inn London Camden Lock,30 Jamestown Road Camden  NW1 7BY ,1
414,DoubleTree by Hilton London Westminster,30 John Islip St Westminster Borough  SW1P 4DD ,1
415,Blakemore Hyde Park,30 Leinster Gardens Bayswater Westminster Borough  W2 3AN ,1
416,Hyatt Regency London The Churchill,30 Portman Square Westminster Borough  W1H 7BH ,1
417,Rathbone,30 Rathbone Street West End Westminster Borough  W1T 1LB ,1
418,Le Belmont Champs Elys es,30 Rue de Bassano 16th arr 75016  ,2
419,Duret,30 Rue Duret 16th arr 75016  ,2
420,H tel Elysees Mermoz,30 Rue Jean Mermoz 8th arr 75008  ,2
421,Majestic Hotel Spa,30 Rue La P rouse 16th arr 75016  ,2
422,BoB Hotel by Elegancia,30 rue Pernety 14th arr 75014  ,2
423,Comfort Inn Suites Kings Cross St Pancras,31 33 Argyle Street Camden  WC1H 8EP ,1
424,The Queens Gate Hotel,31 34 Queen s Gate Kensington and Chelsea  SW7 5JA ,1
